parameter_id,min,max,default,target_count,part_influence_count,deformer_influence_count,physics_influence_count,direct_delta_magnitude,targets,parts
ParamAngleX,-30,30,0,3,46,3,3,80.0,back_hair_warp|head_angle_warp|neck_warp,L_brow|L_ear_outer|L_eye_white|L_iris|L_upper_lash|R_brow|R_ear_outer|R_eye_white|R_iris|R_upper_lash|accent_blush|accent_gloom|accent_sweat|accent_tear|choker|ear_inner|eye_L_blink|eye_L_smile|eye_R_blink|eye_R_smile|eye_expr_heart|eye_expr_jito|eye_expr_smile|eye_expr_squeeze|eye_expr_surprise|eye_expr_wink|face_base|hair_back_L|hair_back_R|hair_front_C|hair_front_L|hair_front_R|mouth_line|mouth_parts_interior|mouth_parts_lower_lip|mouth_parts_teeth|mouth_parts_tongue|mouth_parts_upper_lip|neck|neck_skin|nose_reference|raw_bottomwear|raw_eyewear|raw_footwear|raw_legwear|shoulder_hair
ParamAngleY,-30,30,0,3,46,3,2,44.0,back_hair_warp|head_angle_warp|neck_warp,L_brow|L_ear_outer|L_eye_white|L_iris|L_upper_lash|R_brow|R_ear_outer|R_eye_white|R_iris|R_upper_lash|accent_blush|accent_gloom|accent_sweat|accent_tear|choker|ear_inner|eye_L_blink|eye_L_smile|eye_R_blink|eye_R_smile|eye_expr_heart|eye_expr_jito|eye_expr_smile|eye_expr_squeeze|eye_expr_surprise|eye_expr_wink|face_base|hair_back_L|hair_back_R|hair_front_C|hair_front_L|hair_front_R|mouth_line|mouth_parts_interior|mouth_parts_lower_lip|mouth_parts_teeth|mouth_parts_tongue|mouth_parts_upper_lip|neck|neck_skin|nose_reference|raw_bottomwear|raw_eyewear|raw_footwear|raw_legwear|shoulder_hair
ParamAngleZ,-30,30,0,3,46,3,0,72.0,back_hair_warp|head_angle_warp|neck_warp,L_brow|L_ear_outer|L_eye_white|L_iris|L_upper_lash|R_brow|R_ear_outer|R_eye_white|R_iris|R_upper_lash|accent_blush|accent_gloom|accent_sweat|accent_tear|choker|ear_inner|eye_L_blink|eye_L_smile|eye_R_blink|eye_R_smile|eye_expr_heart|eye_expr_jito|eye_expr_smile|eye_expr_squeeze|eye_expr_surprise|eye_expr_wink|face_base|hair_back_L|hair_back_R|hair_front_C|hair_front_L|hair_front_R|mouth_line|mouth_parts_interior|mouth_parts_lower_lip|mouth_parts_teeth|mouth_parts_tongue|mouth_parts_upper_lip|neck|neck_skin|nose_reference|raw_bottomwear|raw_eyewear|raw_footwear|raw_legwear|shoulder_hair
ParamBodyAngleX,-10,10,0,3,50,3,4,75.32,back_hair_warp|body_warp|upper_warp,L_arm|L_brow|L_ear_outer|L_eye_white|L_iris|L_upper_lash|R_arm|R_brow|R_ear_outer|R_eye_white|R_iris|R_upper_lash|accent_blush|accent_gloom|accent_sweat|accent_tear|choker|clothes|ear_inner|eye_L_blink|eye_L_smile|eye_R_blink|eye_R_smile|eye_expr_heart|eye_expr_jito|eye_expr_smile|eye_expr_squeeze|eye_expr_surprise|eye_expr_wink|face_base|hair_back_L|hair_back_R|hair_front_C|hair_front_L|hair_front_R|mouth_line|mouth_parts_interior|mouth_parts_lower_lip|mouth_parts_teeth|mouth_parts_tongue|mouth_parts_upper_lip|neck|neck_skin|neck_under|nose_reference|raw_bottomwear|raw_eyewear|raw_footwear|raw_legwear|shoulder_hair
ParamBodyAngleY,-10,10,0,3,50,3,0,48.0,back_hair_warp|body_warp|upper_warp,L_arm|L_brow|L_ear_outer|L_eye_white|L_iris|L_upper_lash|R_arm|R_brow|R_ear_outer|R_eye_white|R_iris|R_upper_lash|accent_blush|accent_gloom|accent_sweat|accent_tear|choker|clothes|ear_inner|eye_L_blink|eye_L_smile|eye_R_blink|eye_R_smile|eye_expr_heart|eye_expr_jito|eye_expr_smile|eye_expr_squeeze|eye_expr_surprise|eye_expr_wink|face_base|hair_back_L|hair_back_R|hair_front_C|hair_front_L|hair_front_R|mouth_line|mouth_parts_interior|mouth_parts_lower_lip|mouth_parts_teeth|mouth_parts_tongue|mouth_parts_upper_lip|neck|neck_skin|neck_under|nose_reference|raw_bottomwear|raw_eyewear|raw_footwear|raw_legwear|shoulder_hair
ParamBodyAngleZ,-10,10,0,3,50,3,2,200.4,back_hair_warp|body_warp|upper_warp,L_arm|L_brow|L_ear_outer|L_eye_white|L_iris|L_upper_lash|R_arm|R_brow|R_ear_outer|R_eye_white|R_iris|R_upper_lash|accent_blush|accent_gloom|accent_sweat|accent_tear|choker|clothes|ear_inner|eye_L_blink|eye_L_smile|eye_R_blink|eye_R_smile|eye_expr_heart|eye_expr_jito|eye_expr_smile|eye_expr_squeeze|eye_expr_surprise|eye_expr_wink|face_base|hair_back_L|hair_back_R|hair_front_C|hair_front_L|hair_front_R|mouth_line|mouth_parts_interior|mouth_parts_lower_lip|mouth_parts_teeth|mouth_parts_tongue|mouth_parts_upper_lip|neck|neck_skin|neck_under|nose_reference|raw_bottomwear|raw_eyewear|raw_footwear|raw_legwear|shoulder_hair
ParamBodyTrackX,-1,1,0,0,0,0,1,0,,
ParamBodyTrackZ,-1,1,0,0,0,0,1,0,,
ParamBreath,0,1,0,3,50,3,2,6.96,back_hair_warp|body_warp|upper_warp,L_arm|L_brow|L_ear_outer|L_eye_white|L_iris|L_upper_lash|R_arm|R_brow|R_ear_outer|R_eye_white|R_iris|R_upper_lash|accent_blush|accent_gloom|accent_sweat|accent_tear|choker|clothes|ear_inner|eye_L_blink|eye_L_smile|eye_R_blink|eye_R_smile|eye_expr_heart|eye_expr_jito|eye_expr_smile|eye_expr_squeeze|eye_expr_surprise|eye_expr_wink|face_base|hair_back_L|hair_back_R|hair_front_C|hair_front_L|hair_front_R|mouth_line|mouth_parts_interior|mouth_parts_lower_lip|mouth_parts_teeth|mouth_parts_tongue|mouth_parts_upper_lip|neck|neck_skin|neck_under|nose_reference|raw_bottomwear|raw_eyewear|raw_footwear|raw_legwear|shoulder_hair
ParamBrowLY,-1,1,0,1,1,0,0,16.0,L_brow,L_brow
ParamBrowRY,-1,1,0,1,1,0,0,16.0,R_brow,R_brow
ParamCheek,0,1,0,0,0,0,0,0,,
ParamEyeBallX,-1,1,0,2,2,0,0,30.0,L_iris|R_iris,L_iris|R_iris
ParamEyeBallY,-1,1,0,2,2,0,0,18.0,L_iris|R_iris,L_iris|R_iris
ParamEyeExpr,0,6,0,0,0,0,0,0,,
ParamEyeLOpen,0.27,1,1,1,5,1,0,2.4,eye_L_warp,L_eye_white|L_iris|L_upper_lash|eye_L_blink|eye_L_smile
ParamEyeROpen,0.27,1,1,1,5,1,0,2.4,eye_R_warp,R_eye_white|R_iris|R_upper_lash|eye_R_blink|eye_R_smile
ParamEyeSmile,0,1,0,0,0,0,0,0,,
ParamGloom,0,1,0,0,0,0,0,0,,
ParamHairBack,-1,1,0,1,3,1,0,20.0,back_hair_warp,hair_back_L|hair_back_R|shoulder_hair
ParamHairFront,-1,1,0,1,3,1,1,20.0,front_hair_warp,hair_front_C|hair_front_L|hair_front_R
ParamMouthForm,-1,1,0.0,1,6,1,0,12.0,mouth_warp,mouth_line|mouth_parts_interior|mouth_parts_lower_lip|mouth_parts_teeth|mouth_parts_tongue|mouth_parts_upper_lip
ParamMouthOpenY,0,1,0.0,1,6,1,0,4.8,mouth_warp,mouth_line|mouth_parts_interior|mouth_parts_lower_lip|mouth_parts_teeth|mouth_parts_tongue|mouth_parts_upper_lip
ParamSweat,0,1,0,0,0,0,0,0,,
ParamTear,0,1,0,0,0,0,0,0,,
